Period,time,category,dollars,type
2017,Year-to-Date,Budget,5492,expenses
2017,Year-End,Actual,17521,expenses
2017,Year-to-Date,Actual,5450,expenses
2017,Year-End,Budget,17000,expenses
2018,Year-End,Budget,17876,expenses
2018,Year-to-Date,Budget,4080,expenses
2018,Year-to-Date,Actual,4110.8,expenses
2017,Year-to-Date,Budget,5522,revenue
2017,Year-End,Actual,18532,revenue
2017,Year-to-Date,Actual,4217.6,revenue
2017,Year-End,Budget,17002.4,revenue
2018,Year-End,Budget,18432,revenue
2018,Year-to-Date,Budget,4300,revenue
2018,Year-to-Date,Actual,4978,revenue
