TransactionDate,product,category,price,type
12/1/16,product 1,statistics,101,hardcopy
12/1/16,product 2,statistics,102,hardcopy
12/3/16,product 3,statistics,103,hardcopy
12/3/16,product 4,statistics,104,hardcopy
12/3/16,product 5,statistics,105,hardcopy
12/5/16,product 6,data science,106,hardcopy
12/6/17,product 7,data science,197,hardcopy
12/6/17,product 1,data science,288,hardcopy
12/3/16,product 2,data science,379,hardcopy
12/7/16,product 3,data science,470,hardcopy
12/1/16,product 4,data science,561,hardcopy
12/1/16,product 5,data science,652,hardcopy
12/3/16,product 6,data science,743,hardcopy
12/3/16,product 7,data science,834,hardcopy
12/3/16,product 1,statistics,925,electronic
12/5/16,product 2,statistics,1016,electronic
12/6/17,product 3,statistics,1107,electronic
12/6/17,product 4,statistics,1198,electronic
12/3/16,product 5,statistics,1289,electronic
12/7/16,product 6,statistics,1380,electronic
12/1/16,product 7,statistics,1471,electronic
12/1/16,product 1,statistics,1562,electronic
12/3/18,product 2,statistics,1653,electronic
12/3/18,product 3,statistics,1744,electronic
12/3/18,product 4,statistics,1835,electronic
12/5/18,product 5,statistics,1926,electronic
12/6/18,product 6,statistics,2017,electronic
12/6/18,product 7,data science,2108,electronic
12/3/18,product 1,data science,2199,electronic
12/7/18,product 2,data science,2290,electronic
12/1/18,product 3,data science,2381,electronic
12/1/18,product 4,data science,2472,electronic
12/3/18,product 5,data science,2563,electronic
12/3/18,product 6,data science,2654,electronic
12/3/18,product 7,data science,2745,hardcopy
12/6/18,product 1,data science,2108,hardcopy
12/3/18,product 2,data science,2199,hardcopy
12/7/18,product 3,data science,2290,hardcopy
12/1/18,product 4,data science,2381,hardcopy
12/1/18,product 5,data science,2472,hardcopy
12/3/18,product 6,data science,2563,hardcopy
12/3/18,product 7,data science,2654,hardcopy
12/3/18,product 1,data science,2745,hardcopy
